"month","stakes","winnings","ggr","hold_pct"
"2015-02-01 00:00:00-05",2387715.32,2228359.72,159355.60,6.67
"2015-03-01 00:00:00-05",3113136.46,2992499.69,120636.77,3.88
"2015-04-01 00:00:00-04",2082135.48,2050979.44,31156.04,1.50
"2015-05-01 00:00:00-04",1288362.19,1264690.32,23671.87,1.84
"2015-06-01 00:00:00-04",1992531.27,1998125.39,-5594.12,-0.28
"2015-07-01 00:00:00-04",1318792.78,1309482.22,9310.56,0.71
"2015-08-01 00:00:00-04",996375.09,965090.43,31284.66,3.14
"2015-09-01 00:00:00-04",799165.23,788594.81,10570.42,1.32
"2015-10-01 00:00:00-04",776136.15,764277.30,11858.85,1.53
"2015-11-01 00:00:00-04",779548.78,764996.62,14552.16,1.87
"2015-12-01 00:00:00-05",509728.20,484821.45,24906.75,4.89
"2016-01-01 00:00:00-05",908371.94,913666.82,-5294.88,-0.58
"2016-02-01 00:00:00-05",1976685.93,1989008.40,-12322.47,-0.62
"2016-03-01 00:00:00-05",1029567.28,1014512.62,15054.66,1.46
"2016-04-01 00:00:00-04",347378.67,331892.80,15485.87,4.46
"2016-05-01 00:00:00-04",321573.18,306730.92,14842.26,4.62
"2016-06-01 00:00:00-04",188879.32,179146.71,9732.61,5.15
"2016-07-01 00:00:00-04",263124.12,256426.08,6698.04,2.55
"2016-08-01 00:00:00-04",129060.37,121311.01,7749.36,6.00
"2016-09-01 00:00:00-04",120265.08,114132.29,6132.79,5.10
"2016-10-01 00:00:00-04",186645.34,179929.41,6715.93,3.60
"2016-11-01 00:00:00-04",272808.34,258871.87,13936.47,5.11
"2016-12-01 00:00:00-05",568116.26,562751.65,5364.61,0.94
"2017-01-01 00:00:00-05",399075.94,389514.12,9561.82,2.40
"2017-02-01 00:00:00-05",572113.93,557368.95,14744.98,2.58
"2017-03-01 00:00:00-05",358595.32,352823.17,5772.15,1.61
"2017-04-01 00:00:00-04",264304.25,261010.91,3293.34,1.25
"2017-05-01 00:00:00-04",197257.15,191909.81,5347.34,2.71
"2017-06-01 00:00:00-04",253005.95,249899.64,3106.31,1.23
"2017-07-01 00:00:00-04",390096.25,383136.98,6959.27,1.78
"2017-08-01 00:00:00-04",156331.09,144642.77,11688.32,7.48
"2017-09-01 00:00:00-04",311321.73,305194.55,6127.18,1.97
"2017-10-01 00:00:00-04",268269.75,259470.57,8799.18,3.28
"2017-11-01 00:00:00-04",314174.89,312042.89,2132.00,0.68
"2017-12-01 00:00:00-05",147632.97,134023.16,13609.81,9.22
"2018-01-01 00:00:00-05",112372.89,108548.00,3824.89,3.40
"2018-02-01 00:00:00-05",185958.01,185513.77,444.24,0.24
"2018-03-01 00:00:00-05",191494.54,197471.97,-5977.43,-3.12
"2018-04-01 00:00:00-04",295813.22,319805.16,-23991.94,-8.11
"2018-05-01 00:00:00-04",377053.89,369542.99,7510.90,1.99
"2018-06-01 00:00:00-04",172918.20,173119.79,-201.59,-0.12
"2018-07-01 00:00:00-04",261836.20,275070.51,-13234.31,-5.05
"2018-08-01 00:00:00-04",40585.50,39870.36,715.14,1.76
"2018-09-01 00:00:00-04",39975.53,34862.12,5113.41,12.79
"2018-10-01 00:00:00-04",29034.44,26015.28,3019.16,10.40
"2018-11-01 00:00:00-04",123820.26,113606.66,10213.60,8.25
"2018-12-01 00:00:00-05",46387.84,42983.98,3403.86,7.34
"2019-01-01 00:00:00-05",29618.59,27753.36,1865.23,6.30
"2019-02-01 00:00:00-05",39583.07,37714.98,1868.09,4.72
"2019-03-01 00:00:00-05",46263.18,43938.81,2324.37,5.02
"2019-04-01 00:00:00-04",33274.26,31107.45,2166.81,6.51
"2019-05-01 00:00:00-04",30059.28,27132.69,2926.59,9.74
"2019-06-01 00:00:00-04",102599.71,96103.54,6496.17,6.33
"2019-07-01 00:00:00-04",37695.00,31947.14,5747.86,15.25
"2019-08-01 00:00:00-04",86179.41,83749.01,2430.40,2.82
"2019-09-01 00:00:00-04",16338.71,13301.44,3037.27,18.59
"2019-10-01 00:00:00-04",37818.50,33956.03,3862.47,10.21
"2019-11-01 00:00:00-04",131077.02,130429.06,647.96,0.49
"2019-12-01 00:00:00-05",230224.27,214772.83,15451.44,6.71
"2020-01-01 00:00:00-05",15635.63,13614.44,2021.19,12.93
"2020-02-01 00:00:00-05",21909.19,18520.60,3388.59,15.47
"2020-03-01 00:00:00-05",94315.60,85018.80,9296.80,9.86
"2020-04-01 00:00:00-04",72565.75,67461.20,5104.55,7.03
"2020-05-01 00:00:00-04",65706.54,62986.55,2719.99,4.14
"2020-06-01 00:00:00-04",87732.59,81171.89,6560.70,7.48
"2020-07-01 00:00:00-04",61518.09,55968.50,5549.59,9.02
