"month","monthly_active_players"
"2015-02-01 00:00:00-05",3215
"2015-03-01 00:00:00-05",1953
"2015-04-01 00:00:00-04",1008
"2015-05-01 00:00:00-04",732
"2015-06-01 00:00:00-04",527
"2015-07-01 00:00:00-04",406
"2015-08-01 00:00:00-04",407
"2015-09-01 00:00:00-04",436
"2015-10-01 00:00:00-04",389
"2015-11-01 00:00:00-04",414
"2015-12-01 00:00:00-05",367
"2016-01-01 00:00:00-05",369
"2016-02-01 00:00:00-05",388
"2016-03-01 00:00:00-05",306
"2016-04-01 00:00:00-04",265
"2016-05-01 00:00:00-04",252
"2016-06-01 00:00:00-04",226
"2016-07-01 00:00:00-04",211
"2016-08-01 00:00:00-04",193
"2016-09-01 00:00:00-04",227
"2016-10-01 00:00:00-04",234
"2016-11-01 00:00:00-04",259
"2016-12-01 00:00:00-05",277
"2017-01-01 00:00:00-05",259
"2017-02-01 00:00:00-05",252
"2017-03-01 00:00:00-05",253
"2017-04-01 00:00:00-04",201
"2017-05-01 00:00:00-04",186
"2017-06-01 00:00:00-04",169
"2017-07-01 00:00:00-04",168
"2017-08-01 00:00:00-04",174
"2017-09-01 00:00:00-04",162
"2017-10-01 00:00:00-04",179
"2017-11-01 00:00:00-04",174
"2017-12-01 00:00:00-05",168
"2018-01-01 00:00:00-05",149
"2018-02-01 00:00:00-05",150
"2018-03-01 00:00:00-05",150
"2018-04-01 00:00:00-04",139
"2018-05-01 00:00:00-04",124
"2018-06-01 00:00:00-04",131
"2018-07-01 00:00:00-04",128
"2018-08-01 00:00:00-04",130
"2018-09-01 00:00:00-04",133
"2018-10-01 00:00:00-04",120
"2018-11-01 00:00:00-04",143
"2018-12-01 00:00:00-05",134
"2019-01-01 00:00:00-05",113
"2019-02-01 00:00:00-05",114
"2019-03-01 00:00:00-05",124
"2019-04-01 00:00:00-04",119
"2019-05-01 00:00:00-04",89
"2019-06-01 00:00:00-04",91
"2019-07-01 00:00:00-04",82
"2019-08-01 00:00:00-04",100
"2019-09-01 00:00:00-04",97
"2019-10-01 00:00:00-04",97
"2019-11-01 00:00:00-04",112
"2019-12-01 00:00:00-05",114
"2020-01-01 00:00:00-05",96
"2020-02-01 00:00:00-05",110
"2020-03-01 00:00:00-05",153
"2020-04-01 00:00:00-04",140
"2020-05-01 00:00:00-04",124
"2020-06-01 00:00:00-04",109
"2020-07-01 00:00:00-04",87
"2021-01-01 00:00:00-05",2
