"userid","first_activity","last_activity","days_active"
18338,"2015-02-09","2021-01-01",2153
51998,"2015-03-07","2021-01-01",2127
1188,"2015-02-01","2020-07-25",2001
11893,"2015-02-06","2020-07-28",1999
14010,"2015-02-06","2020-07-28",1999
12464,"2015-02-06","2020-07-27",1998
16481,"2015-02-07","2020-07-27",1997
18772,"2015-02-08","2020-07-28",1997
16386,"2015-02-08","2020-07-28",1997
20500,"2015-02-09","2020-07-28",1996
8305,"2015-02-04","2020-07-22",1995
22258,"2015-02-10","2020-07-28",1995
15325,"2015-02-07","2020-07-21",1991
17371,"2015-02-07","2020-07-18",1988
10315,"2015-02-04","2020-07-15",1988
46725,"2015-02-19","2020-07-26",1984
26720,"2015-02-11","2020-07-17",1983
33864,"2015-02-23","2020-07-28",1982
18977,"2015-02-11","2020-07-15",1981
40486,"2015-02-24","2020-07-28",1981
