"userid","total_revenue","lifespan_months","monthly_arpu","revenue_rank"
26778,37723.24,65.5,576.22,1
5886,26432.55,61.1,432.61,2
43598,22004.85,20.7,1061.33,3
10192,21272.27,63.4,335.35,4
8442,20245.73,26.3,770.78,5
9593,17662.24,21.5,822.78,6
37324,17258.02,65.4,263.88,7
65229,17132.42,11.8,1456.01,8
33073,16177.75,40.5,399.78,9
2092,15645.47,62.5,250.33,10
56223,13779.90,59.1,233.03,11
6078,11986.76,14.2,842.16,12
9977,11778.74,65.6,179.46,13
20888,9505.50,12.8,740.69,14
71398,8610.74,40.4,213.14,15
22258,7792.24,66.5,117.18,16
62529,7538.07,3.9,1916.46,17
46358,7067.42,20.0,353.96,18
58678,6579.71,65.9,99.89,19
9424,6430.35,6.7,955.00,20
