"userid","deposit_count","total_deposited","avg_deposit","deposit_rank"
59212,274,237773.06,867.78,1
35834,968,177897.25,183.78,2
30147,916,144328.00,157.56,3
61454,442,137685.00,311.50,4
16895,2640,120279.64,45.56,5
62353,1291,104108.00,80.64,6
15573,1046,102562.00,98.05,7
972,918,90704.47,98.81,8
4316,782,79020.00,101.05,9
5210,39,77099.78,1976.92,10
65229,151,77033.00,510.15,11
13996,1860,68182.00,36.66,12
20660,382,66811.04,174.90,13
55272,782,63367.06,81.03,14
44196,478,61391.50,128.43,15
14462,348,61135.01,175.68,16
36647,636,61061.00,96.01,17
41128,445,60476.00,135.90,18
32552,910,60255.80,66.22,19
53751,1295,59699.00,46.10,20
