"userid","total_stakes","total_winnings","net_profit","play_days","return_pct"
6736,505.90,881.96,376.06,1,74.33
14846,149.29,232.82,83.53,2,55.95
39139,2398.71,3356.25,957.54,25,39.92
39825,268.80,371.79,102.99,1,38.31
14799,127.84,175.55,47.71,1,37.32
54409,1108.50,1486.42,377.92,1,34.09
28758,109.54,146.06,36.52,2,33.34
15239,848.21,1120.83,272.62,3,32.14
29582,153.71,201.88,48.17,1,31.34
55554,2275.80,2974.88,699.08,1,30.72
6420,407.09,531.96,124.87,1,30.67
5333,2135.20,2688.70,553.50,7,25.92
68934,1028.28,1247.06,218.78,1,21.28
33353,107.44,130.29,22.85,5,21.27
