"hour_of_day","deposit_count","deposit_amount"
20,23673,742551.78
18,22049,710874.25
19,22241,707006.52
17,20912,686777.56
16,18659,599665.76
21,17430,567919.99
15,18030,552325.33
14,16473,540371.42
22,14854,512976.83
12,14746,512446.49
13,16045,504791.74
23,12380,413682.25
11,12599,405339.62
0,10985,395318.47
10,9868,330559.88
1,7791,285590.51
9,7915,233924.10
2,5793,216295.49
8,5673,197370.81
3,3870,146444.05
7,4317,123121.22
4,2981,111447.61
6,3279,99242.00
5,2525,89150.66
