"month","game_type","stakes","winnings","margin","margin_pct"
"2015-02-01 00:00:00-05","Tournaments",195477.04,165975.35,29501.69,15.09
"2015-03-01 00:00:00-05","Tournaments",332664.18,293553.30,39110.88,11.76
"2015-04-01 00:00:00-04","Tournaments",244353.79,231083.01,13270.78,5.43
"2015-05-01 00:00:00-04","Tournaments",137368.88,129262.53,8106.36,5.90
"2015-06-01 00:00:00-04","Tournaments",60909.54,56930.84,3978.70,6.53
"2015-07-01 00:00:00-04","Tournaments",66881.22,59959.94,6921.28,10.35
"2015-08-01 00:00:00-04","Tournaments",118908.24,105311.75,13596.49,11.43
"2015-09-01 00:00:00-04","Tournaments",106587.15,103560.78,3026.37,2.84
"2015-10-01 00:00:00-04","Tournaments",62896.96,50830.39,12066.57,19.18
"2015-11-01 00:00:00-04","Tournaments",39777.09,32594.36,7182.73,18.06
"2015-12-01 00:00:00-05","Tournaments",48253.12,39646.65,8606.47,17.84
"2016-01-01 00:00:00-05","Tournaments",35187.87,26722.11,8465.76,24.06
"2016-02-01 00:00:00-05","Tournaments",28081.90,24309.06,3772.84,13.44
"2016-03-01 00:00:00-05","Tournaments",35298.42,36345.95,-1047.53,-2.97
"2016-04-01 00:00:00-04","Tournaments",44554.49,38349.28,6205.20,13.93
"2016-05-01 00:00:00-04","Tournaments",38703.72,33775.11,4928.60,12.73
"2016-06-01 00:00:00-04","Tournaments",55249.63,63591.83,-8342.20,-15.10
"2016-07-01 00:00:00-04","Tournaments",38135.24,34844.23,3291.01,8.63
"2016-08-01 00:00:00-04","Tournaments",31166.21,26855.45,4310.76,13.83
"2016-09-01 00:00:00-04","Tournaments",45695.50,43014.90,2680.60,5.87
"2016-10-01 00:00:00-04","Tournaments",58317.30,46551.53,11765.77,20.18
"2016-11-01 00:00:00-04","Tournaments",35608.04,37074.51,-1466.47,-4.12
"2016-12-01 00:00:00-05","Tournaments",41439.48,37608.08,3831.40,9.25
"2017-01-01 00:00:00-05","Tournaments",53775.89,49372.78,4403.10,8.19
"2017-02-01 00:00:00-05","Tournaments",56776.51,56984.09,-207.58,-0.37
"2017-03-01 00:00:00-05","Tournaments",32431.57,22510.16,9921.41,30.59
"2017-04-01 00:00:00-04","Tournaments",29580.98,22833.51,6747.47,22.81
"2017-05-01 00:00:00-04","Tournaments",47719.21,40536.97,7182.24,15.05
"2017-06-01 00:00:00-04","Tournaments",50927.22,44664.01,6263.20,12.30
"2017-07-01 00:00:00-04","Tournaments",33592.93,27619.43,5973.50,17.78
"2017-08-01 00:00:00-04","Tournaments",41060.01,38013.85,3046.15,7.42
"2017-09-01 00:00:00-04","Tournaments",47154.18,42654.40,4499.78,9.54
"2017-10-01 00:00:00-04","Tournaments",41309.71,36181.50,5128.21,12.41
"2017-11-01 00:00:00-04","Tournaments",52993.72,54835.60,-1841.88,-3.48
"2017-12-01 00:00:00-05","Tournaments",59736.44,42578.09,17158.35,28.72
"2018-01-01 00:00:00-05","Tournaments",24968.80,24181.96,786.84,3.15
"2018-02-01 00:00:00-05","Tournaments",36007.30,33012.46,2994.83,8.32
"2018-03-01 00:00:00-05","Tournaments",28477.97,22798.09,5679.88,19.94
"2018-04-01 00:00:00-04","Tournaments",41901.35,30403.40,11497.95,27.44
"2018-05-01 00:00:00-04","Tournaments",24877.02,21177.07,3699.95,14.87
"2018-06-01 00:00:00-04","Tournaments",67574.62,60877.71,6696.91,9.91
"2018-07-01 00:00:00-04","Tournaments",42644.83,30653.54,11991.29,28.12
"2018-08-01 00:00:00-04","Tournaments",42308.83,34441.77,7867.06,18.59
"2018-09-01 00:00:00-04","Tournaments",44030.22,57470.46,-13440.24,-30.53
"2018-10-01 00:00:00-04","Tournaments",9535.51,10671.54,-1136.04,-11.91
"2018-11-01 00:00:00-04","Tournaments",15219.18,10611.09,4608.09,30.28
"2018-12-01 00:00:00-05","Tournaments",19372.74,14677.40,4695.35,24.24
"2019-01-01 00:00:00-05","Tournaments",12918.41,10864.75,2053.67,15.90
"2019-02-01 00:00:00-05","Tournaments",14298.26,12394.08,1904.17,13.32
"2019-03-01 00:00:00-05","Tournaments",14373.25,10425.58,3947.67,27.47
"2019-04-01 00:00:00-04","Tournaments",11130.48,10633.39,497.08,4.47
"2019-05-01 00:00:00-04","Tournaments",26816.43,21990.93,4825.50,17.99
"2019-06-01 00:00:00-04","Tournaments",103255.98,89358.04,13897.94,13.46
"2019-07-01 00:00:00-04","Tournaments",40876.14,35435.73,5440.41,13.31
"2019-08-01 00:00:00-04","Tournaments",49252.73,43577.59,5675.15,11.52
"2019-09-01 00:00:00-04","Tournaments",63631.38,53440.74,10190.63,16.02
"2019-10-01 00:00:00-04","Tournaments",110987.73,105639.81,5347.92,4.82
"2019-11-01 00:00:00-04","Tournaments",87951.91,78697.17,9254.74,10.52
"2019-12-01 00:00:00-05","Tournaments",30588.50,28162.78,2425.72,7.93
"2020-01-01 00:00:00-05","Tournaments",11664.36,8532.18,3132.18,26.85
"2020-02-01 00:00:00-05","Tournaments",17221.92,13148.82,4073.10,23.65
"2020-03-01 00:00:00-05","Tournaments",45903.07,40586.65,5316.42,11.58
"2020-04-01 00:00:00-04","Tournaments",47892.97,37562.07,10330.90,21.57
"2020-05-01 00:00:00-04","Tournaments",54405.51,45648.27,8757.24,16.10
"2020-06-01 00:00:00-04","Tournaments",33214.50,26624.06,6590.44,19.84
"2020-07-01 00:00:00-04","Tournaments",40949.79,31760.60,9189.19,22.44
"2021-01-01 00:00:00-05","Tournaments",24.00,4.00,20.00,83.33
