"countryid","signups","depositors","players","deposit_conversion_pct","play_conversion_pct"
703,91,91,91,100.00,100.00
788,83,83,83,100.00,100.00
203,190,190,190,100.00,100.00
643,80,80,80,100.00,100.00
250,1252,1252,1252,100.00,100.00
528,140,140,140,100.00,100.00
724,336,336,336,100.00,100.00
616,90,90,90,100.00,100.00
276,1416,1415,1416,99.93,100.07
40,216,215,216,99.54,100.47
756,185,184,185,99.46,100.54
348,184,183,184,99.46,100.55
56,300,298,300,99.33,100.67
826,231,224,231,96.97,103.13
