"userid","first_deposit_date","first_deposit_amount","last_deposit_date","last_deposit_amount"
11,"2015-02-01",10.00,"2015-02-09",25.00
14,"2015-02-01",48.75,"2015-02-02",48.75
22,"2015-02-03",20.00,"2016-02-21",10.00
37,"2015-02-01",20.00,"2017-12-30",15.00
38,"2015-02-01",10.00,"2020-06-09",200.00
42,"2015-02-01",30.00,"2015-02-10",25.50
70,"2015-02-01",61.10,"2020-02-22",14.85
73,"2015-02-01",25.00,"2020-05-06",200.00
87,"2015-02-01",30.55,"2015-02-01",30.55
124,"2015-02-01",25.00,"2015-06-27",25.00
125,"2015-02-01",50.00,"2015-03-14",100.00
145,"2015-02-01",20.00,"2015-03-10",30.00
148,"2015-02-01",1020.00,"2015-02-10",510.00
154,"2015-02-01",100.00,"2015-02-01",100.00
159,"2015-02-01",10.00,"2015-04-12",10.00
167,"2015-02-01",20.07,"2015-02-01",20.07
194,"2016-09-21",15.00,"2016-10-03",20.00
199,"2015-02-01",51.00,"2015-02-01",51.00
208,"2015-02-01",102.00,"2015-02-07",10.20
227,"2015-02-01",150.00,"2020-07-13",10.00
