"month","monthly_total","prev_month_total","mom_change","mom_change_pct"
"2015-02-01 00:00:00-05",583747.55,NULL,NULL,NULL
"2015-03-01 00:00:00-05",500701.36,583747.55,-83046.19,-14.23
"2015-04-01 00:00:00-04",312897.70,500701.36,-187803.66,-37.51
"2015-05-01 00:00:00-04",229714.97,312897.70,-83182.73,-26.58
"2015-06-01 00:00:00-04",161010.70,229714.97,-68704.27,-29.91
"2015-07-01 00:00:00-04",97229.86,161010.70,-63780.84,-39.61
"2015-08-01 00:00:00-04",152854.71,97229.86,55624.85,57.21
"2015-09-01 00:00:00-04",150937.29,152854.71,-1917.42,-1.25
"2015-10-01 00:00:00-04",170045.85,150937.29,19108.56,12.66
"2015-11-01 00:00:00-04",158452.63,170045.85,-11593.22,-6.82
"2015-12-01 00:00:00-05",158119.36,158452.63,-333.27,-0.21
"2016-01-01 00:00:00-05",139081.43,158119.36,-19037.93,-12.04
"2016-02-01 00:00:00-05",140379.92,139081.43,1298.49,0.93
"2016-03-01 00:00:00-05",139000.10,140379.92,-1379.82,-0.98
"2016-04-01 00:00:00-04",127085.38,139000.10,-11914.72,-8.57
"2016-05-01 00:00:00-04",149723.80,127085.38,22638.42,17.81
"2016-06-01 00:00:00-04",125373.60,149723.80,-24350.20,-16.26
"2016-07-01 00:00:00-04",88090.92,125373.60,-37282.68,-29.74
"2016-08-01 00:00:00-04",88750.53,88090.92,659.61,0.75
"2016-09-01 00:00:00-04",98425.89,88750.53,9675.36,10.90
"2016-10-01 00:00:00-04",125614.93,98425.89,27189.04,27.62
"2016-11-01 00:00:00-04",114066.45,125614.93,-11548.48,-9.19
"2016-12-01 00:00:00-05",115946.12,114066.45,1879.67,1.65
"2017-01-01 00:00:00-05",152253.67,115946.12,36307.55,31.31
"2017-02-01 00:00:00-05",163597.06,152253.67,11343.39,7.45
"2017-03-01 00:00:00-05",189322.42,163597.06,25725.36,15.72
"2017-04-01 00:00:00-04",180237.56,189322.42,-9084.86,-4.80
"2017-05-01 00:00:00-04",159218.97,180237.56,-21018.59,-11.66
"2017-06-01 00:00:00-04",125596.83,159218.97,-33622.14,-21.12
"2017-07-01 00:00:00-04",100177.88,125596.83,-25418.95,-20.24
"2017-08-01 00:00:00-04",150920.64,100177.88,50742.76,50.65
"2017-09-01 00:00:00-04",138999.90,150920.64,-11920.74,-7.90
"2017-10-01 00:00:00-04",146349.95,138999.90,7350.05,5.29
"2017-11-01 00:00:00-04",125362.81,146349.95,-20987.14,-14.34
"2017-12-01 00:00:00-05",197371.34,125362.81,72008.53,57.44
"2018-01-01 00:00:00-05",119780.01,197371.34,-77591.33,-39.31
"2018-02-01 00:00:00-05",112167.32,119780.01,-7612.69,-6.36
"2018-03-01 00:00:00-05",128530.82,112167.32,16363.50,14.59
"2018-04-01 00:00:00-04",139600.79,128530.82,11069.97,8.61
"2018-05-01 00:00:00-04",144165.32,139600.79,4564.53,3.27
"2018-06-01 00:00:00-04",163110.47,144165.32,18945.15,13.14
"2018-07-01 00:00:00-04",152741.90,163110.47,-10368.57,-6.36
"2018-08-01 00:00:00-04",141817.52,152741.90,-10924.38,-7.15
"2018-09-01 00:00:00-04",142435.97,141817.52,618.45,0.44
"2018-10-01 00:00:00-04",133589.68,142435.97,-8846.29,-6.21
"2018-11-01 00:00:00-04",126420.66,133589.68,-7169.02,-5.37
"2018-12-01 00:00:00-05",142096.68,126420.66,15676.02,12.40
"2019-01-01 00:00:00-05",121205.90,142096.68,-20890.78,-14.70
"2019-02-01 00:00:00-05",119591.62,121205.90,-1614.28,-1.33
"2019-03-01 00:00:00-05",113893.10,119591.62,-5698.52,-4.76
"2019-04-01 00:00:00-04",119203.76,113893.10,5310.66,4.66
"2019-05-01 00:00:00-04",123686.49,119203.76,4482.73,3.76
"2019-06-01 00:00:00-04",107098.82,123686.49,-16587.67,-13.41
"2019-07-01 00:00:00-04",97199.80,107098.82,-9899.02,-9.24
"2019-08-01 00:00:00-04",111608.23,97199.80,14408.43,14.82
"2019-09-01 00:00:00-04",103679.60,111608.23,-7928.63,-7.10
"2019-10-01 00:00:00-04",114120.74,103679.60,10441.14,10.07
"2019-11-01 00:00:00-04",123937.78,114120.74,9817.04,8.60
"2019-12-01 00:00:00-05",153908.85,123937.78,29971.07,24.18
"2020-01-01 00:00:00-05",114422.71,153908.85,-39486.14,-25.66
"2020-02-01 00:00:00-05",119829.12,114422.71,5406.41,4.72
"2020-03-01 00:00:00-05",97177.63,119829.12,-22651.49,-18.90
"2020-04-01 00:00:00-04",69779.76,97177.63,-27397.87,-28.19
"2020-05-01 00:00:00-04",95904.41,69779.76,26124.65,37.44
"2020-06-01 00:00:00-04",93273.68,95904.41,-2630.73,-2.74
"2020-07-01 00:00:00-04",82555.12,93273.68,-10718.56,-11.49
