"userid","total_deposited","pct_of_total","running_total","cumulative_pct"
59212,237773.06,2.4550,237773.06,2.46
35834,177897.25,1.8368,415670.31,4.29
30147,144328.00,1.4902,559998.31,5.78
61454,137685.00,1.4216,697683.31,7.20
16895,120279.64,1.2419,817962.95,8.45
62353,104108.00,1.0749,922070.95,9.52
15573,102562.00,1.0590,1024632.95,10.58
972,90704.47,0.9365,1115337.42,11.52
4316,79020.00,0.8159,1194357.42,12.33
5210,77099.78,0.7961,1271457.20,13.13
65229,77033.00,0.7954,1348490.20,13.92
13996,68182.00,0.7040,1416672.20,14.63
20660,66811.04,0.6898,1483483.24,15.32
55272,63367.06,0.6543,1546850.30,15.97
44196,61391.50,0.6339,1608241.80,16.61
14462,61135.01,0.6312,1669376.81,17.24
36647,61061.00,0.6305,1730437.81,17.87
41128,60476.00,0.6244,1790913.81,18.49
32552,60255.80,0.6221,1851169.61,19.11
53751,59699.00,0.6164,1910868.61,19.73
26778,58968.00,0.6088,1969836.61,20.34
63058,57411.63,0.5928,2027248.24,20.93
31136,56769.06,0.5861,2084017.30,21.52
41630,54926.00,0.5671,2138943.30,22.08
66986,54507.00,0.5628,2193450.30,22.65
9977,54252.00,0.5602,2247702.30,23.21
2822,53798.50,0.5555,2301500.80,23.76
33395,49936.15,0.5156,2351436.95,24.28
49233,49303.86,0.5091,2400740.81,24.79
53737,48805.82,0.5039,2449546.63,25.29
