"userid","countryid","total_deposited","rank_in_country"
63063,8,1915.62,1
30586,8,1564.88,2
14180,8,739.80,3
11742,8,207.76,4
37813,8,20.40,5
10385,12,183.60,1
2916,20,2456.38,1
41339,31,5065.36,1
7424,31,2467.69,2
3512,31,1516.28,3
66736,31,888.68,4
12086,31,231.65,5
49434,31,188.15,6
46283,31,161.10,7
12200,31,109.62,8
14342,31,30.73,9
28521,31,21.96,10
21035,31,21.95,11
21734,31,19.23,12
1322,31,18.02,13
38531,31,13.44,14
30903,31,9.02,15
30147,40,144328.00,1
62353,40,104108.00,2
53751,40,59699.00,3
47892,40,48180.80,4
39739,40,42767.93,5
22587,40,30200.00,6
55065,40,29029.00,7
22118,40,25856.02,8
8442,40,24565.40,9
51648,40,18835.90,10
52777,40,18350.00,11
49048,40,16070.00,12
64894,40,15400.00,13
62692,40,12485.00,14
4580,40,11846.11,15
43585,40,11755.96,16
19842,40,11280.00,17
68745,40,11096.00,18
43283,40,10775.00,19
39134,40,10574.68,20
34675,40,9300.00,21
29367,40,8514.60,22
25438,40,7900.80,23
68338,40,7873.28,24
41331,40,7408.00,25
20731,40,7140.00,26
53810,40,6725.00,27
603,40,6263.24,28
